reviews,sentiment,product_category
"There is nothing quite as lovely as awakening to a dishwasher full of what appear to be clean dishes, only to discover that the Finish Tablet is still in the tablet dispenser, which is open and contains a revolting mess of half-melted product, pink center tablet intact.  I never have had this happen and didn't even think of putting on gloves to before removing the product, with a paper towel in my hand.  Man, do my hands sting!I did everything I've always done prior to washing my dishes.  I took the paper off the the tablet which was brokeb in half, put it into the dispenser and closed the dispenser. I then ran the hot water faucet next to to the washer until the water got as hot as it gets, then started the dishwasher on Normal Wash.  I always turn the Heat Dry button off because the water is so hot, my dishes are usually dry when I awaken.So, while our town is not quite out of the drought, water ran through a cleaning cycle, only to rinse the dishes.  None of them were actually clean. I had to run another cycle this morning.I ordered this type of Finish by mistake.  I've always had the best luck with the tabs that have a clear coating that disolves when the hot water hits it.  As a Conservastionist, I don't like the idea of adding more paper to our landfill.  I kept it because it seemed like a stupid thing to exchange but now I wonder.  The waste is amazing.  There have been empty papers in the container; the first tablet I took out to rrun the dishwasher this morning had to be thrown away because it was just powder.I'm also a frugal New Englander and don't appreciate feeling like I'm wasting my money and I certainly have wasted it on this purchase.  Shame on Finish and Shame on Amazon for selling a second-rate product!  I am very surprised and not at all happy.Unless I have to, I won't buy any dish tablets from Amazon in the future. I will attempt to return this product but to top it off, the box in which it came, was soaked because it was delivered on a rainy day, and I put it in an old container I had from the other type of tablets that I usually buy, that have no wrappers.  Hopefully, they'll take it!",negative,dishwashing tablet
"Aside from not seeming to even clean my dishes, it left these strange dots on my dishes and actually made them DIRTY.Its as though the chalk in these packets was being burned into my dishware in drops. Its worse than having wax on them, they are like plastic. I thought my glass bowls, and plastic bowls had been warped at first.I CANT GET THEM OFF. They aren't just flat spots, they are raised bumps like hot plastic has been burned into my glassware and I HAVE TO GET NEW DISHWAREI used pods from WALMART for far cheaper before this, and they actually did their job WITHOUT damaging my dishware. I ordered these for convenience, and now I have to replace my dishes.So I encourage you to use ANYTHING else.",negative,dishwashing tablet
"I never write reviews but after I bought a 96 count of this worthless dishwasher detergent, I felt compelled to help someone else avoid this disastrous Detergent. Even if I use 2 packets on a wash it comes out with a grunge film and is barely even clean. This is also using a jet dry rinse aid. Anyways life is too short to deal with a detergent that doesn't clean your dishes so I highly suggest you don't buy this product. I now have 54 more packets I need to get through but considering throwing them in the trash.",negative,dishwashing tablet
"Updated. Called Finish and told them that every pod was just powder. It got a NEVER HEARD THAT IN MY 12 years here and that can’t happen. That then implies I broke 94 pods, because I sent them the video of all the pods PUFFED UP filled with air and the powder  residue all over the outside of the box and inside Amazon shipping box . Yes, the  representative issued coupons and I got them today hence why I waited to write the review however I did expect a check so that I could deposit it and then buy more dishwasher pods. Been with Finish for every but going forward it’s a different brand.Anyone know how I can post the video here with review ?This is my go to dishwasher pod. For sometime now they come in a cardboard box (which is fine) I happened to have saved and prefer the old style plastic tub because I can re seal it easier and it keeps out any moisture that could be under sink. So I set the stage..... I rotate old to new when i get a new box. I tip the old out on countertop and get ready to place the new ones in, the very first one is “ALL  Powder “ nothing solid about it except the round ball (I can feel it), I grab another and another and so on. At least ten, back to back are broken into powder. Which when I think of it and look back it the other item with this order in the amazon box is covered in a “dust”!of FINISH soap. This can’t be a shipping issue, the Finish box is 100 percent fine. I tried to call the Finish company but missed them by 15 minutes after hours.  I researched on line and many places said the the pod needs to be in whole form and not broken up, to work properly.  I’m baffled on this one , as I said the box is fine. Is this a manufacturering issue ? Anyone seen this happen before?",negative,dishwashing tablet
"Please do yourself a favor and spend the extra few bucks to get the more expensive brand. Do not make the mistake that I did by trying to save a few bucks, it’s simply not worth it. This detergent SUCKS. I hate it so much. It does not clean the dishes well and leaves a ton of water marks. I have to put my dishes in the dishwasher for multiple cycles because this detergent does not do it’s job.",negative,dishwashing tablet
"This doesn't wash clean or dry. My dishes came out with crumbs on them, if they were used for oatmeal, it would still be stuck on them. Water everywhere even after a full heavy wash and dry cycle. I've used the store kind before and they worked, thought this was a good deal. I went back to start I know even if it costs a little more. I'm back to clean and dry dishes.",negative,dishwashing tablet
"So at the time of purchase, I was getting things for around the house. Soap, laundry detergent, seasonings, you know. So I purchased this LARGE box of this product, and they are the absolute worse, it leaves powder, and this film, that won't dry 🤮. You actually have to spin the dishwasher 2-3 times, I have a water bill. From what I understand, this product is used in restaurants, which explains the hard water stains on dishes and utensils. Now I'm going to throw the entire kitchen away. Remember everyone, you get what you pay for.",negative,dishwashing tablet
"Been using this product for some years off and on, and always found it reliable.  Unlike others, I DO like the fact that they are individually wrapped, because usually as I load the dishwasher, my hands are wet and when I (carefully) go and grab a dishwasher pod from a bucket of unwrapped pods, they inevitably get wet and stuck together.Now the bad... these pods don't clean that well and just don't completely dissolve and leave a white powdery residue on dishes and on the interior of my dishwasher.  I thought maybe I was loading the dishwasher wrong, or maybe something wrong with the dishwasher itself.  But after many cycles on the same box, the culprit is these Finish Pods - DO NOT BUY",negative,dishwashing tablet
"Finish All-in-One has absolutely ruined my 2-year-old tableware. It was spotless before I bought this junk and now it's a blueish color and covered in terrible, unsightly water spots. I'm going to have to soak my 12-place settings silverware in vinegar & baking soda to try to remove them. But this terrible product is going straight into the bin. Nothing has changed except using Finish. Same dishwasher, same tableware, same water. I wish I'd used it right away so I could return it but, sadly, it's too late. Back to Cascade for me!",negative,dishwashing tablet
"If I could give these a 0 out of 5 I surely would, because these leave dishes dirtier than when I put them in the dishwasher.The dish tabs leave powder residue all over my dishes. The tabs seem to break down to a certain point, but after that are impossible to dissolve. Not only that, but they don't seem to clean the dishes well either! I have to wash the dishes twice every time I use these,I have tried breaking them up before putting in the dishwasher, I have tried letting them dissolve for 30 minutes or more in a glass of water before putting that in the dishwasher. Little specs of white detergent on all my dishes every time.Don't waste your money on a product that doesn't work.",negative,dishwashing tablet
"There is nothing quite as lovely as awakening to a dishwasher full of what appear to be clean dishes, only to discover that the Finish Tablet is still in the tablet dispenser, which is open and contains a revolting mess of half-melted product, pink center tablet intact.  I never have had this happen and didn't even think of putting on gloves to before removing the product, with a paper towel in my hand.  Man, do my hands sting!I did everything I've always done prior to washing my dishes.  I took the paper off the the tablet which was brokeb in half, put it into the dispenser and closed the dispenser. I then ran the hot water faucet next to to the washer until the water got as hot as it gets, then started the dishwasher on Normal Wash.  I always turn the Heat Dry button off because the water is so hot, my dishes are usually dry when I awaken.So, while our town is not quite out of the drought, water ran through a cleaning cycle, only to rinse the dishes.  None of them were actually clean. I had to run another cycle this morning.I ordered this type of Finish by mistake.  I've always had the best luck with the tabs that have a clear coating that disolves when the hot water hits it.  As a Conservastionist, I don't like the idea of adding more paper to our landfill.  I kept it because it seemed like a stupid thing to exchange but now I wonder.  The waste is amazing.  There have been empty papers in the container; the first tablet I took out to rrun the dishwasher this morning had to be thrown away because it was just powder.I'm also a frugal New Englander and don't appreciate feeling like I'm wasting my money and I certainly have wasted it on this purchase.  Shame on Finish and Shame on Amazon for selling a second-rate product!  I am very surprised and not at all happy.Unless I have to, I won't buy any dish tablets from Amazon in the future. I will attempt to return this product but to top it off, the box in which it came, was soaked because it was delivered on a rainy day, and I put it in an old container I had from the other type of tablets that I usually buy, that have no wrappers.  Hopefully, they'll take it!",negative,dishwashing tablet
"Aside from not seeming to even clean my dishes, it left these strange dots on my dishes and actually made them DIRTY.Its as though the chalk in these packets was being burned into my dishware in drops. Its worse than having wax on them, they are like plastic. I thought my glass bowls, and plastic bowls had been warped at first.I CANT GET THEM OFF. They aren't just flat spots, they are raised bumps like hot plastic has been burned into my glassware and I HAVE TO GET NEW DISHWAREI used pods from WALMART for far cheaper before this, and they actually did their job WITHOUT damaging my dishware. I ordered these for convenience, and now I have to replace my dishes.So I encourage you to use ANYTHING else.",negative,dishwashing tablet
"I never write reviews but after I bought a 96 count of this worthless dishwasher detergent, I felt compelled to help someone else avoid this disastrous Detergent. Even if I use 2 packets on a wash it comes out with a grunge film and is barely even clean. This is also using a jet dry rinse aid. Anyways life is too short to deal with a detergent that doesn't clean your dishes so I highly suggest you don't buy this product. I now have 54 more packets I need to get through but considering throwing them in the trash.",negative,dishwashing tablet
"Updated. Called Finish and told them that every pod was just powder. It got a NEVER HEARD THAT IN MY 12 years here and that can’t happen. That then implies I broke 94 pods, because I sent them the video of all the pods PUFFED UP filled with air and the powder  residue all over the outside of the box and inside Amazon shipping box . Yes, the  representative issued coupons and I got them today hence why I waited to write the review however I did expect a check so that I could deposit it and then buy more dishwasher pods. Been with Finish for every but going forward it’s a different brand.Anyone know how I can post the video here with review ?This is my go to dishwasher pod. For sometime now they come in a cardboard box (which is fine) I happened to have saved and prefer the old style plastic tub because I can re seal it easier and it keeps out any moisture that could be under sink. So I set the stage..... I rotate old to new when i get a new box. I tip the old out on countertop and get ready to place the new ones in, the very first one is “ALL  Powder “ nothing solid about it except the round ball (I can feel it), I grab another and another and so on. At least ten, back to back are broken into powder. Which when I think of it and look back it the other item with this order in the amazon box is covered in a “dust”!of FINISH soap. This can’t be a shipping issue, the Finish box is 100 percent fine. I tried to call the Finish company but missed them by 15 minutes after hours.  I researched on line and many places said the the pod needs to be in whole form and not broken up, to work properly.  I’m baffled on this one , as I said the box is fine. Is this a manufacturering issue ? Anyone seen this happen before?",negative,dishwashing tablet
"Please do yourself a favor and spend the extra few bucks to get the more expensive brand. Do not make the mistake that I did by trying to save a few bucks, it’s simply not worth it. This detergent SUCKS. I hate it so much. It does not clean the dishes well and leaves a ton of water marks. I have to put my dishes in the dishwasher for multiple cycles because this detergent does not do it’s job.",negative,dishwashing tablet
"This doesn't wash clean or dry. My dishes came out with crumbs on them, if they were used for oatmeal, it would still be stuck on them. Water everywhere even after a full heavy wash and dry cycle. I've used the store kind before and they worked, thought this was a good deal. I went back to start I know even if it costs a little more. I'm back to clean and dry dishes.",negative,dishwashing tablet
"So at the time of purchase, I was getting things for around the house. Soap, laundry detergent, seasonings, you know. So I purchased this LARGE box of this product, and they are the absolute worse, it leaves powder, and this film, that won't dry 🤮. You actually have to spin the dishwasher 2-3 times, I have a water bill. From what I understand, this product is used in restaurants, which explains the hard water stains on dishes and utensils. Now I'm going to throw the entire kitchen away. Remember everyone, you get what you pay for.",negative,dishwashing tablet
"Been using this product for some years off and on, and always found it reliable.  Unlike others, I DO like the fact that they are individually wrapped, because usually as I load the dishwasher, my hands are wet and when I (carefully) go and grab a dishwasher pod from a bucket of unwrapped pods, they inevitably get wet and stuck together.Now the bad... these pods don't clean that well and just don't completely dissolve and leave a white powdery residue on dishes and on the interior of my dishwasher.  I thought maybe I was loading the dishwasher wrong, or maybe something wrong with the dishwasher itself.  But after many cycles on the same box, the culprit is these Finish Pods - DO NOT BUY",negative,dishwashing tablet
"Finish All-in-One has absolutely ruined my 2-year-old tableware. It was spotless before I bought this junk and now it's a blueish color and covered in terrible, unsightly water spots. I'm going to have to soak my 12-place settings silverware in vinegar & baking soda to try to remove them. But this terrible product is going straight into the bin. Nothing has changed except using Finish. Same dishwasher, same tableware, same water. I wish I'd used it right away so I could return it but, sadly, it's too late. Back to Cascade for me!",negative,dishwashing tablet
"If I could give these a 0 out of 5 I surely would, because these leave dishes dirtier than when I put them in the dishwasher.The dish tabs leave powder residue all over my dishes. The tabs seem to break down to a certain point, but after that are impossible to dissolve. Not only that, but they don't seem to clean the dishes well either! I have to wash the dishes twice every time I use these,I have tried breaking them up before putting in the dishwasher, I have tried letting them dissolve for 30 minutes or more in a glass of water before putting that in the dishwasher. Little specs of white detergent on all my dishes every time.Don't waste your money on a product that doesn't work.",negative,dishwashing tablet
"There is nothing quite as lovely as awakening to a dishwasher full of what appear to be clean dishes, only to discover that the Finish Tablet is still in the tablet dispenser, which is open and contains a revolting mess of half-melted product, pink center tablet intact.  I never have had this happen and didn't even think of putting on gloves to before removing the product, with a paper towel in my hand.  Man, do my hands sting!I did everything I've always done prior to washing my dishes.  I took the paper off the the tablet which was brokeb in half, put it into the dispenser and closed the dispenser. I then ran the hot water faucet next to to the washer until the water got as hot as it gets, then started the dishwasher on Normal Wash.  I always turn the Heat Dry button off because the water is so hot, my dishes are usually dry when I awaken.So, while our town is not quite out of the drought, water ran through a cleaning cycle, only to rinse the dishes.  None of them were actually clean. I had to run another cycle this morning.I ordered this type of Finish by mistake.  I've always had the best luck with the tabs that have a clear coating that disolves when the hot water hits it.  As a Conservastionist, I don't like the idea of adding more paper to our landfill.  I kept it because it seemed like a stupid thing to exchange but now I wonder.  The waste is amazing.  There have been empty papers in the container; the first tablet I took out to rrun the dishwasher this morning had to be thrown away because it was just powder.I'm also a frugal New Englander and don't appreciate feeling like I'm wasting my money and I certainly have wasted it on this purchase.  Shame on Finish and Shame on Amazon for selling a second-rate product!  I am very surprised and not at all happy.Unless I have to, I won't buy any dish tablets from Amazon in the future. I will attempt to return this product but to top it off, the box in which it came, was soaked because it was delivered on a rainy day, and I put it in an old container I had from the other type of tablets that I usually buy, that have no wrappers.  Hopefully, they'll take it!",negative,dishwashing tablet
"Aside from not seeming to even clean my dishes, it left these strange dots on my dishes and actually made them DIRTY.Its as though the chalk in these packets was being burned into my dishware in drops. Its worse than having wax on them, they are like plastic. I thought my glass bowls, and plastic bowls had been warped at first.I CANT GET THEM OFF. They aren't just flat spots, they are raised bumps like hot plastic has been burned into my glassware and I HAVE TO GET NEW DISHWAREI used pods from WALMART for far cheaper before this, and they actually did their job WITHOUT damaging my dishware. I ordered these for convenience, and now I have to replace my dishes.So I encourage you to use ANYTHING else.",negative,dishwashing tablet
"I never write reviews but after I bought a 96 count of this worthless dishwasher detergent, I felt compelled to help someone else avoid this disastrous Detergent. Even if I use 2 packets on a wash it comes out with a grunge film and is barely even clean. This is also using a jet dry rinse aid. Anyways life is too short to deal with a detergent that doesn't clean your dishes so I highly suggest you don't buy this product. I now have 54 more packets I need to get through but considering throwing them in the trash.",negative,dishwashing tablet
"Updated. Called Finish and told them that every pod was just powder. It got a NEVER HEARD THAT IN MY 12 years here and that can’t happen. That then implies I broke 94 pods, because I sent them the video of all the pods PUFFED UP filled with air and the powder  residue all over the outside of the box and inside Amazon shipping box . Yes, the  representative issued coupons and I got them today hence why I waited to write the review however I did expect a check so that I could deposit it and then buy more dishwasher pods. Been with Finish for every but going forward it’s a different brand.Anyone know how I can post the video here with review ?This is my go to dishwasher pod. For sometime now they come in a cardboard box (which is fine) I happened to have saved and prefer the old style plastic tub because I can re seal it easier and it keeps out any moisture that could be under sink. So I set the stage..... I rotate old to new when i get a new box. I tip the old out on countertop and get ready to place the new ones in, the very first one is “ALL  Powder “ nothing solid about it except the round ball (I can feel it), I grab another and another and so on. At least ten, back to back are broken into powder. Which when I think of it and look back it the other item with this order in the amazon box is covered in a “dust”!of FINISH soap. This can’t be a shipping issue, the Finish box is 100 percent fine. I tried to call the Finish company but missed them by 15 minutes after hours.  I researched on line and many places said the the pod needs to be in whole form and not broken up, to work properly.  I’m baffled on this one , as I said the box is fine. Is this a manufacturering issue ? Anyone seen this happen before?",negative,dishwashing tablet
"Please do yourself a favor and spend the extra few bucks to get the more expensive brand. Do not make the mistake that I did by trying to save a few bucks, it’s simply not worth it. This detergent SUCKS. I hate it so much. It does not clean the dishes well and leaves a ton of water marks. I have to put my dishes in the dishwasher for multiple cycles because this detergent does not do it’s job.",negative,dishwashing tablet
"This doesn't wash clean or dry. My dishes came out with crumbs on them, if they were used for oatmeal, it would still be stuck on them. Water everywhere even after a full heavy wash and dry cycle. I've used the store kind before and they worked, thought this was a good deal. I went back to start I know even if it costs a little more. I'm back to clean and dry dishes.",negative,dishwashing tablet
"So at the time of purchase, I was getting things for around the house. Soap, laundry detergent, seasonings, you know. So I purchased this LARGE box of this product, and they are the absolute worse, it leaves powder, and this film, that won't dry 🤮. You actually have to spin the dishwasher 2-3 times, I have a water bill. From what I understand, this product is used in restaurants, which explains the hard water stains on dishes and utensils. Now I'm going to throw the entire kitchen away. Remember everyone, you get what you pay for.",negative,dishwashing tablet
"Been using this product for some years off and on, and always found it reliable.  Unlike others, I DO like the fact that they are individually wrapped, because usually as I load the dishwasher, my hands are wet and when I (carefully) go and grab a dishwasher pod from a bucket of unwrapped pods, they inevitably get wet and stuck together.Now the bad... these pods don't clean that well and just don't completely dissolve and leave a white powdery residue on dishes and on the interior of my dishwasher.  I thought maybe I was loading the dishwasher wrong, or maybe something wrong with the dishwasher itself.  But after many cycles on the same box, the culprit is these Finish Pods - DO NOT BUY",negative,dishwashing tablet
"Finish All-in-One has absolutely ruined my 2-year-old tableware. It was spotless before I bought this junk and now it's a blueish color and covered in terrible, unsightly water spots. I'm going to have to soak my 12-place settings silverware in vinegar & baking soda to try to remove them. But this terrible product is going straight into the bin. Nothing has changed except using Finish. Same dishwasher, same tableware, same water. I wish I'd used it right away so I could return it but, sadly, it's too late. Back to Cascade for me!",negative,dishwashing tablet
"If I could give these a 0 out of 5 I surely would, because these leave dishes dirtier than when I put them in the dishwasher.The dish tabs leave powder residue all over my dishes. The tabs seem to break down to a certain point, but after that are impossible to dissolve. Not only that, but they don't seem to clean the dishes well either! I have to wash the dishes twice every time I use these,I have tried breaking them up before putting in the dishwasher, I have tried letting them dissolve for 30 minutes or more in a glass of water before putting that in the dishwasher. Little specs of white detergent on all my dishes every time.Don't waste your money on a product that doesn't work.",negative,dishwashing tablet
"I bought this product as result of Amazon choice recommendation.1. It is a powder in block form2, I have used two blocks in dishwasher to get dishes cleaned.3. Have had to rewash several loads of dishes  Dishes have been greasy after one wash.4. custard cup used for strawberry sauce has required 2 dishwashing cycles and my sink wash to remove all residue. hardened after heat cycle5.I have a new dishwasher and sometimes Finish block sits in opened soap chamber in the door never reaching the dishes.6.Pots and pans have to be completely washed and degreased prior to auto dishwashing.",negative,dishwashing tablet
