reviews,sentiment,product_category
For the price I was really expecting a lot more.  Coffee or water splashes out of the top no matter what I do.  I ended up having to purchase another lid.  I wasn't expecting it to hold liquid while upside down or anything crazy but just being held in a pouch on the side of a bag!  Or sitting in a cupholder!  It is fine on a desk but that's about it.,negative,mug
"I like this travel mug. I like its looks. I like the way it feels in hand. I like its performance.So why did I rate it 1 star? Why are they advertising it as 20 oz? It folds a maximum of 16 oz with the lid on. Even with the lid off I do not believe I would be able to add another half cup.You, Sir (YETI) lied! One star for you!",negative,mug
"I’ve owned many YETI products and found them to be generally very good-to-excellent. This Rambler 20 oz. Tumbler looks good but disappoints greatly in temperature retention performance. Though COLD liquids remain cold for a decent period of time (50-75 mins. Depending on Outside/Inside  Air Temperatures), HOT liquids are very poorly retained at original temperature. Hot Coffee or Hot Tea at normal consumption temperatures, for instance, become tepid within 15-25 mins at best.  Very poor performance compared to many competitors and very costly for product capability. This appears to be an item with a price point elevated for brand name only.",negative,mug
"This was expensive junk. It says its leak Proof but the maglid leaks all over. Just the slightest bump of the cup and liquid comes out of the switch.  I bought 2 so I know it’s not an individual defect, so I’m out $70 for a “leak proof” cup that leaks all over my cloth and car.",negative,mug
"My wife was given one as a gift a couple years ago. She wanted another one for traveling so I here we are. First time she used it, she complained she could barely hold it. Thinking she was just being her, one morning I made her a cup of coffee. I made it about halfway to the bedroom when my hand started to get uncomfortable. By time I made it to her, it felt like I had poured the coffee directly in my hand. I was able to keep a straight face as I set it on the nightstand, and when she asked if I noticed it being hot, I told her she was just being a wuss. SO,  Needless to say, she was right, as usual...... THIS IS  EITHER A DEFECT CUP  OR COPY CAT",negative,mug
"I was so excited to get my cup because I already  have the larger Yeti and I love it.  I got this version for my coffee.  I used a Contigo for 5 years and it never leaked and kept my coffee warm for hours.The first morning I used my new cup it spilled ALL over my work back and the contents in it (including electronics).  So I figured that I just can't put it in my bag.  I used it again, and I carried it this time.  Any tipping of the cup spills liquid, so I ended up with coffee all over my gloves, jacket, and work clothes.  Then when I got to work, in about 20 minutes, my coffee is barely luke-warm.  The first time I figured it was because so much spilled.This cup is NOT WORTH THE MONEY.  I was better off with my $8 Contigo, which I am going to purchase again!",negative,mug
I'm an adult woman with fairly small hands and I cannot hold this cup easily. It is just too large around.  It strains my hands and is uncomfortable.  And I must have been asleep when I ordered this.  It is FAR too expensive for a single cup.  There are many other more economical choices.,negative,mug
"My version does not keep liquids hot or cold for more than a few hours at most???!! I filled it half full with ice cubes, then added cold water to the brim closed the lid, and 2-3 hours later, the ice was gone and the water was at room temperature. The same is true with hot coffee. Is mine defective or is Yeti lowering its quality and resting on its reputation?",negative,mug
I thought I’d buy this Yeti for my son’s Christmas gift. I just received it in the mail and opened it to verify the product. The bag it comes in is open on one side and the magnaslider is completely missing!!!,negative,mug
"The info that came w the tumbler said that the lid is not leakproof. OK, understood. What I don’t understand is how it can leak when it’s in your hand and you’re standing still. I imagined it wouldn’t be leak proof if it’s in the truck and you’re off roading but when the act of standing in one place and trying to drink makes it leak it seems like a failed product.It doesn’t keep hot drinks hot the way my cheap Contigo brand tumbler does. There needs to be something around it to grip because it’s just slick stainless steel and it can slide from your hand easily. Do not even try opening the lid once you have a hot drink in there. Just don’t. Or wear an apron and do it in the sink because you have to force the lid open.$30. My no name tumbler from Walgreens is far superior.",negative,mug
"Sure, the lid doesn't leak if you test it with cold water, but add piping hot coffee and it leaks like a sieve.  Very disappointed in this Yeti product. Would be nice if they made a truly leakproof lid for it.",negative,mug
Bought it for christmas but it arrived all scuffed up and dented :/ the box was fine so it just shipped like that. pretty bummed. It's also missing the whole mouth cover thing???,negative,mug
"The tumbler arrived to me dented and scratched!  I purchased two, 2, tumblers to use as a cold beverage tumbler while vacationing in 95 plus degree weather, expecting it to perform like the hype of YETI, and that all their products are supposed to be outstanding.  This product is extremely disappointing.  The ice in the beverage did not even last 30 minutes.  All products put into the tumbler were straight out of the freezer or refrigerator and the ice was melted within 30 to 45 minutes and the beverage was warm within one hour, which made it undrinkable.  The lid it comes with is a clear plastic that offers very little in the form of insulation.  Were the tumbler to have an insulated non-clear lid, like I have with my thermos tumbler, it would have potential to be a much better insulated tumbler and perhaps a good product.  The clear plastic lid is what makes it a very disappointing YETI product.",negative,mug
"I was excited to receive this for Mother's Day from my kids, as I have been wanting a Yeti for a while. But, literally a few minutes after my hot coffee is in the rambler it is lukewarm. I have used a different Yeti before and this didn't happen. I tried pouring really hot water in to heat it before my hot coffee, but I get the same result. Cold coffee in minutes. So, I am not sure what is wrong here, but this doesn't work right. I tried cold water with ice as well, the ice was melted when I was outside for a bit. It was hot out, but I thought they were supposed to have the ice remain overnight?!? Really bummed that I got a dud.",negative,mug
I didn’t notice when I wrapped it but embarrassingly enough the recipient that I gifted it to for Christmas pointed it out to me!! Not Happy!,negative,mug
"In my opinion this is not a Yeti but a knock off. I have a Yeti and I immediately noticed the weight difference, Went to Dick's and bought a Yeti totally different in weight.",negative,mug
Tumbler did not come with Mag Slider. Sent email to Yeti 5 days ago and still no reply. Not good customer service. Sending back.,negative,mug
"After only a few months my yeti cup started getting rust spots on the bottom inside. I only use this for water, never anything else",negative,mug
"I paid double for my cup, knowing that it was extremely difficult to get a true red one right now.  The cup in the pic to the right is the brick red I was expecting!  I wanted a cup in brick or canyon red, they sent me a harvest colored one, which is the now common red (actually a purplish/red).  It's petty I know, but when you have a large family and you want every have their own cup, it's hard to know who is who's when the colors are the same!  It was the main reason that I was willing to pay double to avoid this!±!+±+3",negative,mug
"So we have magnets for added nerd tech feature.  Cool.  Unfortunately we forgot to check the fact that IT LEAKS!  It's not a little leak either.  It leaks a LOT.  Go look at the videos other reviewers were nice enough to put up.  If you need a cup that won't leak profusely, find a different cup.  I'm trying out Jura's.  It comes with two lids just so you can have a travel lid that DOESN'T leak if you're so inclined.Another bad part of the design is that the lid which leaks isn't that easy to clean under the sliding mechanism.  If you don't immediately rinse the lid after use (because the thing leaks so much) you'll find it won't slide because whatever you were drinking dried underneath it.So now for the good part.  Does the cup appear to insulate decently?  Yes.  Does that really matter when the lid sucks?  Not so much unless you have another lid to use since the Yeti one's garbage.",negative,mug
