reviews,sentiment,product_category
"I have 4 kids- all boys. I’m constantly telling them to use their napkins & eat over their plates. Do they? Of course not. I use my little green machine to clean their dinner chairs monthly along with other upholstery cleaners but they were permanently stained… or so I thought. I was ready to just replace the chairs but I got to thinking how amazing this product works on keeping my whites bright & getting stains out of my kids clothes. So I figured I’d try it out. SO glad I did!! Used a spoon of this with warm water along with a soft bristle brush and waaa-la!! They look good as new & saved me a couple hundred on new chairs! BEST $5 ever spent! I’m ready to use this on everything in my house now!*FYI- after years of shopping on amazon, this is the only review I’ve ever done because I’m THAT in love with the product! If I can save another mom from wanting to rip her hair out looking at her kids messes then this review is worth it!",positive,washing powder
"Was surprised how well this works. Purchased as an alternative to Borax, after Ordering Borax and it being Delivered to some other State. These Soda Boosters seem to work well, removing Stains, as well as Odors. The Negative is that they also remove the Dye from the Materials, have some Black T-Shirts that have significantly lost Color due to use of this Product.However, had the same Shirts, have a sour smell in the collar due to being left in the Washer or not Dried Completely and then wearing in Summer as Gardening Shirts, as those discussed are Long Sleeve Shirts. This Powder removed much of that smell, which Laundry Detergent did not seem to ever completely remove. Was actually surprised that the A&H was able to do so.Everything seemingly has a purpose, these appear to be for hard to remove Stains, Work Clothes, or Heavy Soiled Items. These Soda Powders do not seem to leave that film, that is left by OxyStain Products, if you have used those types of Stain Removers?Will Repurchase this Item for Heavy Stained Items.",positive,washing powder
I was looking for a non toxic option for laundry detergent so I make my own detergent now  with peppermint oil and baking soda and this and it’s been working great! I did dilute a cup in a gallon and washed my tile with it BUT it left white streaks and then I went over it again with just water and it cleared right up. I love it because it has a lot of purposes and it’s 100% clean ingredient,positive,washing powder
This is by far one of Arm and Hammers best products. This makes doing laundry worth wild. My clothes comes out fresh and bright.,positive,washing powder
I like this product due to it making detergent more effective for me with well water. It is hard for laundry detergent to get into clothing with a well with the minerals. It makes a world of difference for me adding it to the washer. I don't believe it has a scent. I wish it were a bit cheaper.,positive,washing powder
This is my second purchase. Love it.,positive,washing powder
"Great for getting smells out. I add this to laundry detergent for washing dog beds, towels, etc. Works great but should be cheaper for what it is",positive,washing powder
"This has made a difference in cleanliness of my clothes. I have hard water and sometimes there was lingering smells and debris. This I feel helps water to be "" softer"" and in return I have cleaner more vibrant looking laundry.",positive,washing powder
I paid $24.49 for product on left from Amazon (3lb 7 oz) and $6.99 for product on right from Canadian Tire (6 lb 6oz). The reason I purchased the Amazon product was because I had trouble finding the product in Canada but will definitely stock up any time I find it on the shelves in my local Canadian Tire store!,negative,washing powder
This is one of my stupid buys. Pinterest happy....got this for to strip all the towels....yes well....lets just say... waste of time effort and energy for me. And im not blaming the product. Its a lovely large yellow box if white powder. And in fairness used in the washing machine with the whites do seem to make them brighter. The stripping thing i wasnt to pleased with tho. Either the towels werent that bad or the recipie was wrong who knows....all i know is there wasnt any noticable dirt coming from the towels. But there us a huge amount if powder in this box and i have used it for many other different uses. It was packaged very well and safe. Overlysized box pehaps was my biggest upset. But the product is still intact and still have some left. Not such a bad purchase after all,positive,washing powder
"I made my own laundry detergent with this and it turned out great (contains fels-naptha soap, borax substitue and washing soda).  Now that I have it in the house, I've been using it to clean my tile floors and hard surfaces in the bathroom, and it's just as good as cleaning products that cost way more and come packaged in huge plastic containers.",positive,washing powder
"I'm not sure it makes laundry better, but the clothes seem to feel harsh after adding it to a washHowever, i use it for cleaning my airfryer basket and it helps but three best use is sprinkling into the outdoor bin, definitely helps to illiminate pungent smells.Rather expensive though",neutral,washing powder
At last something that really works to clean towels and blankets used on a wet dog!  Items now smell clean and can be put away.,positive,washing powder
Gain is the only detergent I buy for my household,positive,washing powder
My favorite scent that lasts forever,positive,washing powder
Smells great and cleans well.,positive,washing powder
Changed to Gain because we noticed that Tide was fading out clothes and the Gain does not!,positive,washing powder
Leaves clothes smelling great,positive,washing powder
"I was expecting this to smell amazing. Like the liquid version of this.  It absolutely doesn’t, it does smell good, a clean fresh scent. Not the moonlight Breeze that you smells with the liquid detergent, scent beads or softner sheets.",negative,washing powder
"This last me a long time, gets my clothes really clean, I love it!",positive,washing powder
More washes for the cost then liquids. Cleans and smells great,positive,washing powder
"I was very hesitant to switch from liquid detergent to powder, but my husband kept putting the challenge in front of me. He swore that our clothes would be cleaner and fluffier. He was CORRECT!!! The powder gets down into the fabric which cleanes better! I recommend powder to everyone I know. Yes liquid is more user friendly, but..you will spend WAY LESS. You will be hooked :) why are we so stuck on liquid ?",positive,washing powder
"I refuse to use these stupid ""pods.""  They are NOT a good value and the appliance people tell us that they mess-up and in some cases damage washing machines beyond repair.  MUCH better value and better cleaning than the pods as well.",positive,washing powder
I am a lifelong tied user however I had purchased liquid tide for the last 20 years. First I barked at the price but then I saw it was good for 102 washes so I took the plunge!After much research on cleaning different surfaces from tile to wood fencing I found that powdered tide is the most effective so I bought it and it’s true! You can use it on any surface you please as long as you mix it with the proper ingredients .,positive,washing powder
"I like Tide powder, which is becoming harder to find. There's a difference between the powder and liquid in scent, cleaning and price.  You cannot beat the clean smell of Tide in the wash and Downey as the fabric rince.",positive,washing powder
I’ve been watching videos from home that use this when cleaning that way your house will smell more of a clean smell and not just chemicals . I love using this for laundry as well but mainly for cleaning this is what I bought it for!,positive,washing powder
"No worry about diluted, watered down detergent.. this lasts and lasts and really works well to clean, deodorize and white clothes. Great deal !",positive,washing powder
One of the best detergents you can buy. Keep your clothes smell good and clean.,positive,washing powder
"Oh my God guys, this was so big, I didn’t expect it for this small price, I highly recommend",positive,washing powder
This is the best smelling laundry detergent! The brand is very popular in Latin America so I was very excited to try this version with Downey. This detergent cleans well and you don't need to use too much so 158 Oz will last a while.,positive,washing powder
"This really smells nice and cleans well, it doesn’t come with a scooper and it’s in a big bag.My bag was punctured a little so there was detergent that was spilled. Not a lot but I had to put it into a container and it doesn’t come with a scooper or measuring device. Those are the cons.Overall, smells nice,  and cleans well.Just need to put it into a different container.",positive,washing powder
"Unfortunately, my soap was punctured and made quite a mess. However I was able to salvage 95% of the detergent.I normally refuse to get scented detergent but grabbed this, planning to use on just towels. I am so glad I did. Whole I normally don't like scented detergent, this smells soooo good. Towels came out soft, clean, and smelling amazing. I won't use it on our clothes because of sensitive skin but so far, no issues with towels.",positive,washing powder
"This is interesting detergent. When I first saw the packaging andbhow it was labeled with a touch of Downey, I wondered if it was a version of Tide from another country. It is made by P&G. But on further research, I learned it is more like Gain than Tide.It is very fine and looks like powder. I use powdered detergent and it is coarser than this. It is also very blue whereas the powder I uluse is white with some blue specks. I don't know fir sure but I suspect that means that it has a lot of bluing in it. Bluing in the detergent makes whites look whiter. You can actually buy bluing on its own to use on white clothing.The package says to use 1/4 C for normal soiled medium sized loads. In looking at the P&G website, they recommend 2T or 1/8 of a cup for an HE washer, so half as much. Using that, my load of towels came out clean. They did seem a little rougher than usual. We don't use fabric softener on towels but I do throw in 1/2C of baking soda. This helps to cut any body oils or soils and softens the towels without reducing the absorbancy. The roughness doesn't seem bad but I will rewash them to see if they are still rough.The scent is great. Overall, I am satisfied with this detergent. Although I am a Tide girl, I know that most of my family's clothes aren't that dirty. With orices now a days, this detergent could save me some money if I use it on normally soiled clothing.",positive,washing powder
"I'm not used to using powdered laundry detergent.  I've gotten accustomed to just using pods, but this has really changed my mind! For a large load, about a half laundry cup of Ariel, with a Touch of Downy Freshness gets the job done in my top loader.  Laundry comes out smelling clean and fresh, and I really can't ask for more.  I also have not had any issues with any sensitivity to the product either.  I will say though that this is a very large bag - with enough for allegedly 99 loads.  I wish this came in a container with an easier to open and close mechanism.  I strongly recommend opening the bag very carefully with a scissors and a chip-clip works well for me to keep the bag securely closed.  Really great value here and this smells better than the leading brands. I've never heard of Ariel, but I am a fan of Downy dryer sheets so I gave this a try and am not disappointed in the least!",positive,washing powder
"besides the scent, which is really love, the most important thing to me when using a powder is if it rinses clean and completely off.  I had powder detergent stick to my clothes, towels, sheets etc becuase it didn't rinse off in the washer so I was a bit sceptical about using powders again.  This rinses completely off, not a trace !  The scent is heavenly.  I just love it.  My husband has sensitive skin and he loves scented clothes but they do cause him to itch but so far, so good on this one.  I did sheets and 2 loads of towels and one load of just his white tee shirts and no complaints.  This is a very good value, the bag is large.  When I did my towels, they seemed extra soft.  I have 2 brands that i use all the time but I think I might add this one to my list.  Every thing about it was good.  by the way, the scent is not overwhelming either.  It's just a nice, fresh clean scent.",positive,washing powder
"I first want to say I like the scent of this detergent. It is a large size and does a lot of loads. The powder is small so it dissolves fast in the water. It washes well and leaves a light scent on the clothes once they come out of the dryer. If I had one negative thing to say it would be that all of the writing is in Spanish, so if you know no Spanish whatsoever, you can't understand anything on the package. It would be better if they put English writing along with the Spanish on the pack. I would still recommend this product.",positive,washing powder
"I bought this after reading reviews, hoping it would work for getting my husband’s polyester work shirts fresh smelling. I wanted to try this more economical option before trying a pricey sport detergent made for activewear. After multiple wears and washes, his work shirts had a build up which left them smelling funky even after washing. We already use detergent with this ingredient in it, but adding extra of this product, washing in hot, and doing a soak has made a huge difference. He no longer complains about his clothes having a funky smell and has been very pleased!",positive,washing powder
I tried  the original version advertised by infomercial like commercials when this product came out several years ago. I wasn’t that impressed. My normal laundry booster was out of stock. After a bit of googling I decided to give it a fresh try.  This stuff gives your basic laundry detergent the ultimate “Glow Up”. Clothes smell amazing days after being out away in your closet or drawer. The scent is amazing. It’s a “sporty fresh clean” with a sprinkle of scent that is so familiar it feels like a warm hug. It’s a new laundry staple that I never knew I needed.,positive,washing powder
Product container was open in the shipping box. I was able to salvage most of the  powder from the shipping box back to its container.  Container had no seal (tape) on the lid and wasn't in a plastic bag.Great product when you can use it!,positive,washing powder
I like the size and actually it works very well on my towels since I have dogs. Dog smell is hard to get out. This product is a good brand good size and well worth if your clothes smell like your pets. I as well cleaned my washing machine to make sure it wasn't just that. It was the dogs left over scent on towels. There are some soaps that do not get out that perfume smell or cologne smell or sweat smell and dog smell.....plus my sinuses hurt when it's to perfumie. This is mild enough for me.,positive,washing powder
"It amazes me the amount of oxiclean in the bag it came wrapped in. Which lets you know it is an issue with the containers not staying closed and leaking out contents.Ive been buying and using oxiclean with odor blasters for a while now. It gets my greasy/grimey work clothes clean and keeps them smelling fresh after washing. After a full day of work in the summer, you could imagine how stinky and sweaty the clothes can get. A scoop of this stuff in the wash makes them fresh again!",positive,washing powder
This did a great job . Really protects the colors and gives the clothes a nice fresh scent (not overpowering).,positive,washing powder
My gym clothes were coming out of the wash still smelling and I was losing my mind wondering if my washing machine wasn't holding up. Turns out I'm stinkier than I realized and my gym clothes were not getting any help sitting in the hamper a day or 2. This product has worked great to remove the smell and I use it just for my gym clothes load. I was skeptical but what an easy fix!,positive,washing powder
This is a great product if you have athletes in your family that have sweaty dirty clothes. It handles the strong odors from my teenage football and basketball playing son. The price on Amazon beat Wal Mart price too.,positive,washing powder
"Gets the smell out of anything. Need to use warm or hot water with your wash, so not good for cold wash only items.",positive,washing powder
